account_id,loan_id,account_district_id,statement_freq,account_date_opened,amount,duration,payments,status
2,4959.0,1,MONTHLY,56,80952.0,24.0,3373.0,A
19,4961.0,21,MONTHLY,826,30276.0,12.0,2523.0,B
25,4962.0,68,MONTHLY,1304,30276.0,12.0,2523.0,A
37,4967.0,20,MONTHLY,1690,318480.0,60.0,5308.0,D
38,4968.0,19,WEEKLY,1680,110736.0,48.0,2307.0,C
67,4973.0,16,MONTHLY,656,165960.0,24.0,6915.0,A
97,4986.0,74,MONTHLY,1220,102876.0,12.0,8573.0,A
103,4988.0,44,MONTHLY,1164,265320.0,36.0,7370.0,D
105,4989.0,21,MONTHLY,1651,352704.0,48.0,7348.0,C
110,4990.0,36,MONTHLY,1293,162576.0,36.0,4516.0,C
132,4996.0,40,TRANSACTION,1226,88440.0,12.0,7370.0,A
173,5002.0,66,MONTHLY,329,104808.0,12.0,8734.0,A
176,5005.0,71,WEEKLY,1319,27456.0,12.0,2288.0,A
226,5015.0,70,MONTHLY,1514,109344.0,12.0,9112.0,C
276,5027.0,38,MONTHLY,1802,160920.0,36.0,4470.0,C
290,5032.0,56,MONTHLY,335,123696.0,48.0,2577.0,A
303,5034.0,71,MONTHLY,1301,112752.0,36.0,3132.0,C
309,5036.0,14,MONTHLY,1575,91248.0,48.0,1901.0,C
314,5039.0,15,TRANSACTION,1120,66840.0,24.0,2785.0,C
319,5041.0,47,WEEKLY,1019,369000.0,60.0,6150.0,C
330,5042.0,42,MONTHLY,1423,331584.0,48.0,6908.0,C
339,5043.0,46,WEEKLY,1349,468060.0,60.0,7801.0,C
344,5044.0,54,MONTHLY,334,100980.0,60.0,1683.0,C
347,5045.0,65,MONTHLY,346,187224.0,24.0,7801.0,B
349,5046.0,72,MONTHLY,1619,42816.0,12.0,3568.0,C
378,5051.0,68,MONTHLY,1298,230400.0,60.0,3840.0,C
426,5060.0,1,MONTHLY,332,252060.0,60.0,4201.0,D
440,5061.0,29,MONTHLY,1451,84288.0,48.0,1756.0,C
442,5063.0,54,MONTHLY,1549,357840.0,48.0,7455.0,D
472,5072.0,8,MONTHLY,1379,196800.0,24.0,8200.0,D
501,5082.0,13,MONTHLY,1023,262980.0,60.0,4383.0,C
525,5086.0,70,MONTHLY,1174,210384.0,48.0,4383.0,C
544,5088.0,32,MONTHLY,864,91152.0,24.0,3798.0,A
666,5103.0,27,MONTHLY,1169,12540.0,12.0,1045.0,A
675,5110.0,58,MONTHLY,944,102240.0,60.0,1704.0,C
718,5117.0,1,MONTHLY,1157,76944.0,12.0,6412.0,A
785,5124.0,21,WEEKLY,1681,156096.0,36.0,4336.0,C
789,5125.0,39,MONTHLY,766,73056.0,48.0,1522.0,C
790,5126.0,54,MONTHLY,130,208128.0,48.0,4336.0,B
808,5128.0,69,MONTHLY,893,215616.0,48.0,4492.0,D
813,5130.0,16,MONTHLY,40,24312.0,12.0,2026.0,A
816,5131.0,52,MONTHLY,216,48624.0,24.0,2026.0,A
817,5132.0,5,MONTHLY,441,538500.0,60.0,8975.0,C
825,5134.0,19,MONTHLY,1160,53076.0,12.0,4423.0,A
846,5136.0,72,MONTHLY,1163,187104.0,24.0,7796.0,A
854,5138.0,62,MONTHLY,263,87216.0,48.0,1817.0,C
873,5140.0,73,MONTHLY,1576,178500.0,60.0,2975.0,C
915,5145.0,72,MONTHLY,747,309552.0,48.0,6449.0,C
938,5147.0,70,MONTHLY,1807,22260.0,60.0,371.0,C
940,5148.0,37,MONTHLY,683,284280.0,60.0,4738.0,C
960,5151.0,4,TRANSACTION,670,189060.0,60.0,3151.0,C
993,5154.0,6,MONTHLY,1413,108720.0,60.0,1812.0,C
1004,5158.0,70,MONTHLY,1278,188532.0,36.0,5237.0,C
1011,5160.0,45,MONTHLY,715,204000.0,60.0,3400.0,C
1012,5161.0,65,MONTHLY,554,98184.0,24.0,4091.0,A
1068,5169.0,52,MONTHLY,1506,253200.0,60.0,4220.0,C
1071,5170.0,68,WEEKLY,129,253200.0,60.0,4220.0,C
1083,5172.0,45,MONTHLY,1435,50976.0,36.0,1416.0,C
1093,5174.0,54,MONTHLY,1108,385104.0,48.0,8023.0,C
1106,5176.0,20,WEEKLY,240,192552.0,24.0,8023.0,B
1166,5189.0,11,MONTHLY,110,149040.0,48.0,3105.0,A
1242,5206.0,74,TRANSACTION,1423,128544.0,24.0,5356.0,C
1244,5207.0,68,MONTHLY,1223,35904.0,48.0,748.0,C
1247,5208.0,25,MONTHLY,158,99696.0,48.0,2077.0,D
1250,5209.0,62,MONTHLY,1182,182640.0,48.0,3805.0,C
1252,5210.0,13,WEEKLY,936,148140.0,36.0,4115.0,C
1256,5212.0,38,MONTHLY,475,71064.0,36.0,1974.0,A
1270,5214.0,55,TRANSACTION,1253,74772.0,36.0,2077.0,C
1284,5221.0,55,MONTHLY,1643,52512.0,12.0,4376.0,C
1318,5226.0,56,MONTHLY,1816,185544.0,36.0,5154.0,C
1329,5229.0,53,MONTHLY,1354,23520.0,12.0,1960.0,A
1374,5236.0,53,MONTHLY,1364,389136.0,48.0,8107.0,C
1375,5237.0,19,MONTHLY,481,45336.0,24.0,1889.0,A
1389,5241.0,34,MONTHLY,1677,125472.0,24.0,5228.0,C
1407,5245.0,19,TRANSACTION,1561,125472.0,24.0,5228.0,C
1447,5253.0,65,MONTHLY,1511,100080.0,48.0,2085.0,C
1480,5260.0,41,WEEKLY,1279,123300.0,36.0,3425.0,C
1498,5265.0,62,WEEKLY,1498,165780.0,60.0,2763.0,C
1527,5269.0,31,TRANSACTION,320,164052.0,36.0,4557.0,B
1528,5270.0,50,MONTHLY,1254,191088.0,48.0,3981.0,C
1580,5281.0,69,MONTHLY,1102,194256.0,24.0,8094.0,C
1583,5282.0,69,TRANSACTION,685,388512.0,48.0,8094.0,D
1603,5285.0,1,MONTHLY,128,78936.0,12.0,6578.0,A
1638,5287.0,6,WEEKLY,1411,64224.0,24.0,2676.0,C
1656,5293.0,47,MONTHLY,1492,189792.0,48.0,3954.0,C
1698,5301.0,68,MONTHLY,1168,141948.0,36.0,3943.0,C
1718,5304.0,71,MONTHLY,1726,172272.0,24.0,7178.0,C
1762,5310.0,28,MONTHLY,344,248148.0,36.0,6893.0,A
1766,5311.0,28,MONTHLY,610,30060.0,60.0,501.0,C
1772,5312.0,31,WEEKLY,780,202788.0,36.0,5633.0,C
1776,5313.0,36,MONTHLY,1668,43200.0,24.0,1800.0,C
1787,5314.0,30,WEEKLY,80,96396.0,12.0,8033.0,B
1801,5316.0,46,MONTHLY,43,165960.0,36.0,4610.0,A
1808,5318.0,28,MONTHLY,1596,385584.0,48.0,8033.0,C
1811,5319.0,40,MONTHLY,264,239460.0,60.0,3991.0,C
1819,5320.0,55,WEEKLY,1389,143676.0,36.0,3991.0,C
1843,5325.0,12,MONTHLY,29,105804.0,36.0,2939.0,A
1862,5329.0,19,WEEKLY,834,396120.0,60.0,6602.0,C
1869,5332.0,1,MONTHLY,1260,37944.0,36.0,1054.0,C
1876,5334.0,1,MONTHLY,1723,209040.0,24.0,8710.0,C
1886,5337.0,32,MONTHLY,1159,162468.0,36.0,4513.0,C
1888,5338.0,6,MONTHLY,1389,57360.0,12.0,4780.0,B
1906,5343.0,1,MONTHLY,1308,44952.0,24.0,1873.0,C
1928,5346.0,70,MONTHLY,1521,55632.0,24.0,2318.0,C
1967,5350.0,26,WEEKLY,773,249312.0,48.0,5194.0,C
1978,5351.0,57,WEEKLY,161,205200.0,36.0,5700.0,A
1993,5352.0,68,MONTHLY,667,68400.0,12.0,5700.0,B
2000,5354.0,5,MONTHLY,1678,290820.0,60.0,4847.0,C
2018,5358.0,42,MONTHLY,884,38520.0,12.0,3210.0,A
2035,5360.0,53,MONTHLY,1225,176328.0,36.0,4898.0,C
2051,5363.0,64,WEEKLY,1041,293880.0,60.0,4898.0,D
2055,5365.0,37,MONTHLY,1567,271260.0,60.0,4521.0,C
2062,5366.0,70,MONTHLY,1160,86184.0,12.0,7182.0,A
2064,5367.0,54,MONTHLY,1459,83628.0,36.0,2323.0,C
2073,5368.0,59,MONTHLY,1686,44640.0,24.0,1860.0,C
2080,5369.0,74,MONTHLY,1577,214596.0,36.0,5961.0,C
2106,5375.0,1,MONTHLY,1126,101520.0,12.0,8460.0,A
2116,5377.0,70,MONTHLY,1217,92400.0,12.0,7700.0,A
2134,5382.0,52,MONTHLY,1313,22932.0,36.0,637.0,C
2142,5384.0,42,MONTHLY,1704,23328.0,12.0,1944.0,C
2143,5385.0,1,MONTHLY,1107,71460.0,36.0,1985.0,C
2153,5388.0,31,WEEKLY,1101,61560.0,12.0,5130.0,A
2165,5389.0,51,MONTHLY,1558,78600.0,24.0,3275.0,C
2167,5390.0,16,MONTHLY,219,170256.0,24.0,7094.0,A
2176,5395.0,67,MONTHLY,156,299088.0,36.0,8308.0,B
2187,5398.0,9,WEEKLY,1151,53472.0,12.0,4456.0,A
2218,5409.0,19,MONTHLY,689,182040.0,60.0,3034.0,C
2227,5413.0,31,WEEKLY,506,92976.0,24.0,3874.0,A
2228,5414.0,34,MONTHLY,442,185952.0,48.0,3874.0,C
2236,5415.0,73,MONTHLY,968,139464.0,36.0,3874.0,D
2245,5418.0,29,MONTHLY,88,347952.0,48.0,7249.0,C
2246,5419.0,1,MONTHLY,1210,415800.0,60.0,6930.0,C
2247,5420.0,24,MONTHLY,1198,72504.0,24.0,3021.0,C
2262,5428.0,13,MONTHLY,1499,230220.0,36.0,6395.0,C
2268,5429.0,1,MONTHLY,771,20196.0,36.0,561.0,C
2279,5435.0,2,WEEKLY,1398,314688.0,48.0,6556.0,C
2322,5445.0,33,MONTHLY,731,46320.0,24.0,1930.0,A
2334,5446.0,50,MONTHLY,1173,48312.0,24.0,2013.0,C
2335,5447.0,70,MONTHLY,1189,541200.0,60.0,9020.0,D
2343,5449.0,68,MONTHLY,707,99336.0,24.0,4139.0,A
2345,5450.0,5,MONTHLY,297,199680.0,60.0,3328.0,C
2350,5451.0,18,MONTHLY,1311,159744.0,48.0,3328.0,C
2352,5452.0,70,MONTHLY,750,49440.0,60.0,824.0,C
2361,5453.0,28,MONTHLY,420,156672.0,36.0,4352.0,A
2413,5463.0,33,MONTHLY,1760,17952.0,12.0,1496.0,C
2419,5464.0,24,MONTHLY,330,95808.0,12.0,7984.0,A
2445,5469.0,52,MONTHLY,1283,293160.0,60.0,4886.0,C
2456,5470.0,65,MONTHLY,981,200976.0,48.0,4187.0,C
2486,5479.0,1,MONTHLY,57,24516.0,12.0,2043.0,A
2496,5482.0,51,MONTHLY,505,165120.0,60.0,2752.0,C
2516,5486.0,6,MONTHLY,1049,466608.0,48.0,9721.0,C
2545,5491.0,1,MONTHLY,1433,428784.0,48.0,8933.0,C
2572,5494.0,64,TRANSACTION,681,360000.0,48.0,7500.0,C
2580,5495.0,60,MONTHLY,1042,89340.0,60.0,1489.0,C
2622,5501.0,1,MONTHLY,1328,136344.0,24.0,5681.0,C
2694,5519.0,7,MONTHLY,66,91632.0,12.0,7636.0,A
2699,5520.0,73,MONTHLY,1454,231168.0,48.0,4816.0,C
2705,5523.0,63,TRANSACTION,185,93888.0,36.0,2608.0,A
2720,5525.0,2,WEEKLY,1627,93888.0,36.0,2608.0,C
2725,5526.0,52,MONTHLY,1552,69624.0,36.0,1934.0,C
2728,5527.0,52,WEEKLY,1647,156420.0,60.0,2607.0,C
2753,5531.0,26,MONTHLY,1138,66432.0,24.0,2768.0,C
2754,5532.0,57,WEEKLY,1120,335280.0,48.0,6985.0,C
2762,5533.0,19,MONTHLY,78,111384.0,24.0,4641.0,A
2824,5549.0,11,MONTHLY,292,50460.0,60.0,841.0,C
2872,5556.0,1,MONTHLY,1342,268320.0,60.0,4472.0,C
2910,5561.0,68,MONTHLY,1754,437460.0,60.0,7291.0,C
2912,5563.0,74,MONTHLY,575,380160.0,60.0,6336.0,C
2933,5568.0,10,MONTHLY,168,272520.0,60.0,4542.0,C
2936,5569.0,3,MONTHLY,1181,504000.0,60.0,8400.0,C
2962,5576.0,1,MONTHLY,149,31248.0,12.0,2604.0,A
2982,5582.0,19,MONTHLY,1250,41256.0,12.0,3438.0,C
2986,5584.0,63,MONTHLY,1194,24792.0,24.0,1033.0,C
2988,5585.0,66,TRANSACTION,1382,88608.0,12.0,7384.0,C
2994,5586.0,77,MONTHLY,1218,48744.0,36.0,1354.0,C
3005,5589.0,42,TRANSACTION,1471,390000.0,48.0,8125.0,C
3021,5591.0,10,MONTHLY,1205,155616.0,48.0,3242.0,C
3037,5593.0,44,MONTHLY,510,277884.0,36.0,7719.0,D
3050,5595.0,60,MONTHLY,127,82896.0,12.0,6908.0,A
3064,5599.0,40,MONTHLY,142,15420.0,12.0,1285.0,A
3084,5606.0,59,WEEKLY,1122,253512.0,36.0,7042.0,D
3112,5610.0,38,MONTHLY,588,123216.0,48.0,2567.0,C
3115,5611.0,14,MONTHLY,1181,321180.0,60.0,5353.0,C
3137,5614.0,39,MONTHLY,1444,253560.0,60.0,4226.0,C
3143,5616.0,38,MONTHLY,1386,130896.0,24.0,5454.0,C
3161,5620.0,48,MONTHLY,1333,30012.0,12.0,2501.0,C
3166,5624.0,71,MONTHLY,221,177744.0,48.0,3703.0,D
3189,5625.0,29,MONTHLY,1062,222180.0,60.0,3703.0,D
3229,5634.0,64,MONTHLY,1051,39024.0,12.0,3252.0,A
3230,5635.0,1,MONTHLY,799,77184.0,36.0,2144.0,C
3249,5638.0,74,MONTHLY,1379,68124.0,12.0,5677.0,A
3273,5643.0,74,MONTHLY,1092,94512.0,12.0,7876.0,B
3293,5644.0,1,MONTHLY,1680,276084.0,36.0,7669.0,C
3329,5651.0,3,MONTHLY,1380,19248.0,12.0,1604.0,A
3353,5656.0,74,MONTHLY,1334,146064.0,24.0,6086.0,C
3354,5657.0,63,MONTHLY,308,4980.0,12.0,415.0,A
3390,5665.0,12,WEEKLY,1451,40632.0,12.0,3386.0,C
3403,5669.0,63,MONTHLY,1600,71820.0,36.0,1995.0,C
3418,5674.0,42,TRANSACTION,1340,207264.0,48.0,4318.0,C
3448,5681.0,58,WEEKLY,1252,68664.0,24.0,2861.0,C
3455,5682.0,34,MONTHLY,1167,67464.0,12.0,5622.0,A
3460,5683.0,16,MONTHLY,1558,140688.0,48.0,2931.0,C
3489,5693.0,9,MONTHLY,706,44088.0,24.0,1837.0,A
3556,5698.0,58,MONTHLY,1701,174840.0,60.0,2914.0,C
3562,5699.0,50,MONTHLY,1295,174960.0,24.0,7290.0,C
3608,5706.0,72,WEEKLY,606,161496.0,36.0,4486.0,C
3629,5713.0,48,MONTHLY,207,158760.0,60.0,2646.0,C
3637,5718.0,53,MONTHLY,1030,14028.0,12.0,1169.0,A
3664,5719.0,1,MONTHLY,1213,271584.0,48.0,5658.0,C
3674,5723.0,38,MONTHLY,70,23628.0,12.0,1969.0,A
3678,5724.0,1,MONTHLY,82,316140.0,60.0,5269.0,D
3679,5725.0,64,MONTHLY,956,444864.0,48.0,9268.0,C
3711,5731.0,3,MONTHLY,1588,460980.0,60.0,7683.0,D
3747,5739.0,1,MONTHLY,485,76380.0,12.0,6365.0,A
3752,5740.0,1,MONTHLY,693,18564.0,12.0,1547.0,A
3754,5741.0,37,WEEKLY,1144,68544.0,24.0,2856.0,A
3804,5750.0,7,MONTHLY,461,63252.0,12.0,5271.0,A
3834,5754.0,54,MONTHLY,18,23052.0,12.0,1921.0,A
3859,5758.0,53,MONTHLY,1208,307200.0,60.0,5120.0,D
3862,5760.0,1,MONTHLY,1422,74916.0,36.0,2081.0,C
3875,5765.0,44,MONTHLY,1751,153936.0,24.0,6414.0,C
3906,5772.0,52,MONTHLY,1649,334620.0,60.0,5577.0,C
3907,5773.0,37,MONTHLY,1203,133848.0,24.0,5577.0,C
3916,5774.0,8,MONTHLY,1731,96984.0,36.0,2694.0,C
3942,5779.0,27,WEEKLY,1225,107352.0,36.0,2982.0,C
3953,5782.0,1,MONTHLY,1627,63576.0,12.0,5298.0,C
3967,5784.0,54,MONTHLY,1360,84600.0,36.0,2350.0,D
4033,5790.0,57,MONTHLY,1418,84288.0,48.0,1756.0,C
4052,5799.0,36,WEEKLY,1485,106128.0,36.0,2948.0,C
4079,5804.0,52,MONTHLY,306,158976.0,48.0,3312.0,C
4081,5805.0,11,MONTHLY,932,137904.0,24.0,5746.0,B
4099,5808.0,54,MONTHLY,1241,41856.0,48.0,872.0,C
4116,5815.0,6,MONTHLY,1738,151200.0,36.0,4200.0,C
4127,5817.0,50,MONTHLY,1218,100800.0,24.0,4200.0,D
4144,5823.0,1,MONTHLY,1326,212976.0,36.0,5916.0,C
4190,5830.0,62,MONTHLY,1006,405780.0,60.0,6763.0,C
4259,5836.0,66,MONTHLY,462,79632.0,24.0,3318.0,A
4260,5837.0,56,MONTHLY,286,244560.0,60.0,4076.0,C
4268,5841.0,77,MONTHLY,1511,41988.0,12.0,3499.0,C
4293,5850.0,64,TRANSACTION,1129,164196.0,36.0,4561.0,C
4320,5856.0,61,MONTHLY,1299,51360.0,12.0,4280.0,B
4337,5861.0,29,MONTHLY,319,51408.0,24.0,2142.0,A
4342,5862.0,74,MONTHLY,1214,100128.0,24.0,4172.0,C
4354,5865.0,38,MONTHLY,1468,327660.0,60.0,5461.0,C
4361,5868.0,69,MONTHLY,1165,90156.0,12.0,7513.0,A
4413,5876.0,74,WEEKLY,379,221280.0,48.0,4610.0,C
4414,5877.0,24,MONTHLY,252,97224.0,24.0,4051.0,A
4415,5878.0,73,MONTHLY,915,74040.0,12.0,6170.0,A
4423,5880.0,39,MONTHLY,845,73836.0,36.0,2051.0,A
4427,5882.0,32,MONTHLY,157,87816.0,12.0,7318.0,A
4447,5886.0,62,MONTHLY,1262,192744.0,36.0,5354.0,C
4448,5887.0,60,MONTHLY,152,192744.0,36.0,5354.0,A
4456,5889.0,14,MONTHLY,1341,321240.0,60.0,5354.0,C
4462,5892.0,73,WEEKLY,1090,66480.0,24.0,2770.0,B
4467,5893.0,17,WEEKLY,1563,86184.0,36.0,2394.0,C
4473,5895.0,45,MONTHLY,1011,93960.0,60.0,1566.0,C
4476,5897.0,24,MONTHLY,678,15192.0,24.0,633.0,A
4503,5900.0,50,MONTHLY,732,135360.0,48.0,2820.0,C
4533,5906.0,68,MONTHLY,1675,81144.0,36.0,2254.0,C
4550,5909.0,56,MONTHLY,1497,61320.0,60.0,1022.0,C
4576,5918.0,27,MONTHLY,155,300204.0,36.0,8339.0,A
4580,5922.0,9,MONTHLY,603,20220.0,12.0,1685.0,A
4585,5923.0,27,MONTHLY,1254,64656.0,48.0,1347.0,C
4616,5930.0,1,MONTHLY,1727,66696.0,24.0,2779.0,C
4618,5931.0,3,MONTHLY,1297,66696.0,24.0,2779.0,D
4626,5932.0,9,MONTHLY,1261,33348.0,12.0,2779.0,A
4631,5933.0,77,TRANSACTION,1441,87528.0,24.0,3647.0,C
4650,5938.0,4,MONTHLY,1017,402000.0,60.0,6700.0,C
4660,5940.0,63,MONTHLY,1463,106944.0,24.0,4456.0,C
4681,5942.0,70,MONTHLY,949,162624.0,48.0,3388.0,C
4715,5953.0,8,MONTHLY,1396,97176.0,24.0,4049.0,C
4725,5956.0,73,MONTHLY,1564,168264.0,36.0,4674.0,C
4727,5959.0,2,MONTHLY,773,107640.0,24.0,4485.0,A
4746,5963.0,54,MONTHLY,1512,204780.0,60.0,3413.0,C
4774,5970.0,66,MONTHLY,378,465072.0,48.0,9689.0,C
4784,5973.0,46,MONTHLY,1680,219456.0,48.0,4572.0,C
4794,5976.0,72,MONTHLY,1447,465504.0,48.0,9698.0,D
4803,5977.0,26,MONTHLY,1254,59136.0,48.0,1232.0,C
4825,5980.0,15,MONTHLY,519,21396.0,12.0,1783.0,A
4851,5988.0,52,MONTHLY,1129,141648.0,24.0,5902.0,A
4852,5989.0,47,MONTHLY,832,213300.0,36.0,5925.0,C
4858,5991.0,67,MONTHLY,1632,335184.0,48.0,6983.0,D
4863,5992.0,5,MONTHLY,1166,76080.0,12.0,6340.0,A
4894,5997.0,14,MONTHLY,170,117024.0,24.0,4876.0,A
4907,5999.0,42,MONTHLY,401,98832.0,48.0,2059.0,C
4937,6004.0,12,MONTHLY,50,143904.0,24.0,5996.0,A
4948,6006.0,43,MONTHLY,939,359760.0,60.0,5996.0,C
4949,6007.0,33,MONTHLY,1382,289920.0,48.0,6040.0,C
4969,6010.0,60,WEEKLY,1326,150180.0,60.0,2503.0,C
4981,6011.0,54,MONTHLY,1116,179328.0,48.0,3736.0,C
4994,6012.0,1,WEEKLY,1105,258444.0,36.0,7179.0,C
4995,6013.0,20,WEEKLY,577,128988.0,36.0,3583.0,D
4999,6014.0,1,MONTHLY,1137,165168.0,36.0,4588.0,C
5001,6015.0,53,MONTHLY,1078,110112.0,24.0,4588.0,A
5033,6019.0,54,MONTHLY,944,11400.0,12.0,950.0,A
5066,6027.0,13,WEEKLY,968,61656.0,24.0,2569.0,B
5072,6028.0,6,MONTHLY,1197,317520.0,60.0,5292.0,C
5118,6037.0,72,MONTHLY,946,53232.0,48.0,1109.0,C
5120,6038.0,1,MONTHLY,171,323472.0,48.0,6739.0,A
5126,6043.0,58,MONTHLY,822,20352.0,48.0,424.0,C
5133,6044.0,68,WEEKLY,1437,57060.0,12.0,4755.0,C
5164,6052.0,5,MONTHLY,1593,22356.0,36.0,621.0,C
5180,6054.0,54,MONTHLY,1515,58764.0,12.0,4897.0,C
5181,6055.0,75,MONTHLY,1128,399120.0,60.0,6652.0,C
5196,6059.0,13,WEEKLY,1640,79824.0,12.0,6652.0,A
5213,6063.0,1,MONTHLY,959,320976.0,48.0,6687.0,D
5215,6064.0,55,MONTHLY,181,14628.0,12.0,1219.0,A
5228,6066.0,77,TRANSACTION,173,173808.0,24.0,7242.0,A
5256,6072.0,72,TRANSACTION,297,193968.0,36.0,5388.0,A
5263,6073.0,64,MONTHLY,924,276300.0,60.0,4605.0,C
5267,6075.0,4,MONTHLY,1106,129312.0,24.0,5388.0,D
5269,6076.0,49,MONTHLY,1280,117420.0,60.0,1957.0,C
5270,6077.0,44,MONTHLY,12,79608.0,24.0,3317.0,A
5283,6078.0,15,MONTHLY,1721,170832.0,48.0,3559.0,C
5305,6083.0,47,MONTHLY,1354,240528.0,48.0,5011.0,C
5313,6087.0,40,MONTHLY,118,300660.0,60.0,5011.0,C
5317,6088.0,28,MONTHLY,1388,90180.0,36.0,2505.0,C
5358,6095.0,4,MONTHLY,867,68340.0,60.0,1139.0,C
5362,6097.0,76,WEEKLY,1344,202848.0,48.0,4226.0,C
5385,6103.0,44,WEEKLY,140,149340.0,60.0,2489.0,C
5395,6104.0,47,MONTHLY,1211,158184.0,36.0,4394.0,C
5422,6109.0,66,MONTHLY,659,368880.0,60.0,6148.0,C
5428,6111.0,24,MONTHLY,103,174744.0,24.0,7281.0,B
5442,6112.0,34,MONTHLY,80,174744.0,24.0,7281.0,B
5445,6113.0,72,MONTHLY,1510,78696.0,36.0,2186.0,C
5477,6118.0,57,MONTHLY,1080,349392.0,48.0,7279.0,C
5481,6120.0,52,MONTHLY,227,209184.0,48.0,4358.0,A
5541,6130.0,43,MONTHLY,812,32640.0,48.0,680.0,C
5572,6136.0,15,MONTHLY,1683,140880.0,60.0,2348.0,C
5574,6137.0,13,WEEKLY,559,44628.0,12.0,3719.0,A
5591,6142.0,9,MONTHLY,1170,221880.0,60.0,3698.0,C
5593,6144.0,15,MONTHLY,1152,44376.0,12.0,3698.0,A
5602,6147.0,19,TRANSACTION,1286,177504.0,48.0,3698.0,C
5622,6150.0,70,MONTHLY,38,83016.0,12.0,6918.0,A
5628,6151.0,61,MONTHLY,532,225420.0,60.0,3757.0,C
5632,6153.0,5,WEEKLY,683,285600.0,60.0,4760.0,C
5650,6157.0,10,TRANSACTION,737,98592.0,24.0,4108.0,A
5698,6168.0,1,MONTHLY,1707,99216.0,36.0,2756.0,C
5700,6169.0,42,MONTHLY,200,103680.0,60.0,1728.0,D
5724,6173.0,14,TRANSACTION,838,232560.0,48.0,4845.0,C
